ORF,myStddev,myMean,myCV
YKR009C,0.028004623,3.371373642,0.008306591
YDL157C,0.012556689,3.626793993,0.003462201
YER059W,0.060518036,3.389168843,0.017856306
YGL059W,0.023961782,3.287178327,0.007289468
YDR481C,0.023619822,3.573601924,0.006609528
YML113W,0.031426614,3.173964213,0.009901376
YIL157C,0.023633868,3.555076818,0.006647921
YPR003C,0.020715858,3.219309961,0.006434875
YNR074C,0.011507462,3.443504636,0.003341788
YLR154C-H,0.05658706,3.191191261,0.017732268
YKL012W,0.025062575,3.421729045,0.007324535
YJL147C,0.023924231,3.199550443,0.007477373
YDL216C,0.032416511,3.096322451,0.010469359
YNL320W,0.014791857,3.434555302,0.004306775
YHL007C,0.020044618,3.486823773,0.005748675
YPL223C,0.16740319,3.31665414,0.050473514
YKL138C,0.015000413,3.557746949,0.004216268
YNL126W,0.026243703,3.195124474,0.008213672
YKL055C,0.031381042,2.886682707,0.01087097
YML035C,0.016212957,3.503089142,0.004628189
YER087C-B,0.035041993,3.687761933,0.009502238
YIL160C,0.264305163,3.065872708,0.086208786
YLR050C,0.033563592,3.56341311,0.009418945
YOR037W,0.024969242,3.274489683,0.007625384
YOL008W,0.027485057,3.363516562,0.008171524
YOR072W-B,0.044879158,3.299237924,0.013602886
YPL253C,0.025205752,3.156978842,0.007984137
YDL048C,0.073435362,3.249930299,0.022595981
YDR056C,0.028206713,3.542159009,0.007963141
YNL083W,0.01325153,3.244834634,0.004083884
YCR081W,0.011954784,3.311200243,0.003610408
YDL159W,0.020376217,3.198167343,0.006371217
YCR024C-B,0.010797369,3.737929357,0.002888596
YPL154C,0.011880322,3.783704156,0.003139866
YDR020C,0.02799691,3.072563818,0.009111905
YOR290C,0.01791501,3.495802749,0.00512472
YGR267C,0.011662122,3.688704633,0.003161577
YNL216W,0.015992899,3.36789475,0.004748634
YFL034C-B,0.012863314,3.415850507,0.003765772
YEL031W,0.028780037,3.709875167,0.007757683
YBR238C,0.048916008,3.041049271,0.01608524
YFL045C,0.012556338,3.766050515,0.003334086
YGL222C,0.065957731,2.87273165,0.022959935
YIR021W,0.022094773,3.429358325,0.00644283
YHR014W,0.092969899,2.501657614,0.037163319
YEL006W,0.05369961,3.478564821,0.015437289
YDL029W,0.011342382,3.713967575,0.00305398
YLR401C,0.026082627,3.337862017,0.007814172
YDR447C,0.012357135,3.785843556,0.003264037
YOR192C-C,0.039175615,3.334035071,0.011750211
YER026C,0.038500638,3.68550784,0.010446495
YLR287C-A,0.010258076,3.817571969,0.002687068
YKL195W,0.027013679,3.502142665,0.007713472
YDR144C,0.03370865,3.417868918,0.009862476
YDR439W,0.008618759,3.218006138,0.002678292
YBR149W,0.025157847,3.721250974,0.006760589
YER114C,0.051166315,3.425376253,0.014937429
YMR247C,0.012340201,3.562455877,0.003463959
YMR076C,0.02861996,3.438341226,0.00832377
YGR056W,0.01302325,3.332344603,0.003908134
YAL013W,0.015014902,3.452853055,0.004348549
YPR002W,0.065136205,3.377696219,0.01928421
YOR175C,0.024318785,3.501195358,0.006945852
YDL167C,0.028057922,3.326986081,0.008433435
YDR465C,0.056939718,3.329114548,0.017103562
YJL201W,0.013333251,3.305438661,0.004033731
YDR495C,0.019310676,3.288774799,0.005871693
YDR501W,0.108418004,3.124221237,0.034702409
YHL010C,0.043063785,3.09781252,0.013901353
YHR152W,0.024315773,3.500072309,0.00694722
YER035W,0.054714182,3.530810578,0.01549621
YHR002W,0.018255773,3.224932638,0.005660823
YPL020C,0.021188464,3.40706142,0.006218985
YLR286C,0.018641322,3.65692328,0.005097543
