Type,Well,Description,IFNgamma (43),IL-10 (28),IL-1beta (18),IL-4 (20),IL-6 (25),IL-8 (27),TGFbeta (29),TNFalpha (45)
S1,"C1,D1",,13.26,9.71,1.62,2.27,-1,-1,-1,42.87
S2,"E1,F1",,3.39,-1,11.4,10,10.9,-1,13.42,-1
S3,"G1,H1",,38.84,118.92,44.32,45.66,56.23,62.55,61,85.81
S4,"A2,B2",,138.39,121.69,133.5,133.4,133.42,146.6,130.07,136.62
S5,"C2,D2",,748.73,653.7,707.8,732.33,697.81,631.4,698.22,677.8
S6,"E2,F2",,2378.2,2451.18,2461.32,2295.97,2491.3,1.00E+06,2364.47,2323.42
S7,"G2,H2",,10838.81,10214.36,9830.82,13876.85,8663.58,1.00E+06,1.00E+06,10910.34
S8,"A3,B3",,17132.23,38415.67,41466.5,31355.29,65114.5,1123.47,5732.85,38226.13
X1,"C3,D3",6/9/18,754.83,711.61,51.15,35.04,105.98,395.22,83.88,269.36
X2,"E3,F3",6/30/18,347.2,451.66,26.79,42.52,87.14,660.56,86.27,471.6
X3,"G3,H3",7/28/18,336.6,421.83,36.06,35.43,190.07,529.65,88.99,388.19
X4,"A4,B4",9/21/18,284.91,357.93,27.43,25.79,274.41,462.95,64.97,103.7
X5,"C4,D4",6/29/20,7699.63,4175.08,927.53,639.92,1199.96,1.00E+06,2404.71,11786.48
X6,"E4,F4",7/28/20,3004.87,1674.46,299.67,190.84,802.76,1.00E+06,438.32,2838.22
X7,"G4,H4",9/22/20,839.08,928.67,102.37,72.97,138.81,393.21,186.43,415.35
X8,"A5,B5",6/30/21,3.39,-1,1.21,14.24,26.23,-1,6.79,-1
X9,"C5,D5",7/28/21,-1,-1,3.31,10.39,15.55,-1,3.92,-1
X10,"E5,F5",9/22/21,-1,-1,7.57,6.4,-1,-1,-1,-1
X11,"G5,H5",5474-Pre-12/19,65.52,-1,4.06,4.36,44.93,-1,-1,-1
X12,"A6,B6",7/26/73,-1,-1,68.58,18.54,65.66,-1,-1,-1
X13,"C6,D6",7/28/31,55.73,-1,-1,-1,-1,-1,-1,-1
X14,"E6,F6",8/19/31,26.07,132.26,-1,0.36,55.2,-1,-1,-1
X15,"G6,H6",6/29/32,404.6,853.87,78.65,153.44,699.89,342.33,354.55,1398.18
X16,"A7,B7",7/28/32,865.41,-1,-1,4.25,9.5,-1,-1,-1
X17,"C7,D7",9/22/32,48.11,-1,-1,11.82,18.56,166.91,5.68,45.96
X18,"E7,F7",12/15/64,56.97,-1,0.35,1.64,-1,-1,-1,-1
X19,"G7,H7",12/15/65,320.14,495.84,32.5,51.97,310.58,312.82,71.38,611.73
X20,"A8,B8",11/21/66,105.12,-1,5.66,10.29,9.97,70.52,10.46,-1
X21,"C8,D8",5466-1/17/12,343.13,144.47,58.71,30.14,169.73,667.69,99.04,519.87
X22,"E8,F8",11/21/67,326.75,218.95,74.02,22.42,406.18,22.24,49.15,140.64
X23,"G8,H8",5467-1/17/12,178.45,65.99,32.4,18.01,342.37,41.12,19.91,30.23
X24,"A9,B9",5468-Pre-12/19,16.67,-1,1.35,-1,-1,-1,-1,-1
X25,"C9,D9",5468-Post-12/19,110.47,-1,-1,-1,-1,-1,-1,-1
X26,"E9,F9",11/21/69,119.94,274.11,27.64,31.6,241.06,-1,45.34,35.71
X27,"G9,H9",5469-1/17/12,76.15,155.81,14.01,17.3,295.11,-1,19.01,-1
X28,"A10,B10",7/25/70,-1,-1,-1,-1,-1,-1,27.72,-1
X29,"C10,D10",7/25/71,-1,-1,-1,-1,-1,-1,240.94,-1
X30,"E10,F10",9/27/71,229.1,151.36,1.48,13.32,59.31,46.11,-1,-1
X31,"G10,H10",10/31/71,188.83,142.1,10.49,15.87,54.68,-1,20.8,-1
X32,"A11,B11",11/29/71,88.68,104.06,8.16,19.76,123.77,-1,-1,-1
X33,"C11,D11",5471-1/24/12,695.38,285.77,66.2,48.15,936.59,102.89,35.12,675.31
X34,"E11,F11",5472-Pre-12/16,113.65,-1,16.14,6.29,-1,-1,8.4,-1
X35,"G11,H11",5472-Post-12/16,393.6,-1,-1,-1,62.45,8.22,-1,73.86
X36,"A12,B12",5474-POst,53.22,-1,-1,1.1,16.25,-1,-1,-1
X37,"C12,D12",10/31/75,73.82,-1,24.32,7.02,984.04,-1,-1,-1
X38,"E12,F12",11/29/75,48.11,-1,78.75,14.24,113.28,-1,6.24,-1
X39,"G12,H12",5475-1/17/12,37.48,-1,18.35,5.66,343.56,-1,-1,-1
